ID,Name,par,year,Taxonomy relative to the UK,Taxonomy relative to MCA,GVA per hour worked,Export Intensity,New Businesses,Low Skilled,High Skilled,Active,Inactive due to Illness,Working Age,4G connectivity,Fibre connectivity,GFCF per job,ICT per job,Intangibles per job
E47000001,Greater Manchester,E47000001,2020,Catching up, ,34.6,0.16760392810465352,0.13633607622347335,0.18823792736836215,0.39141626098147836,0.7649823736780259,0.25047619047619046,0.6257111945968468,0.8584234757835191,0.16082899451079435,8557.899124635267,361.56731971654864,1744.6991802139778
E47000001,Greater Manchester,E47000001,2021,Catching up, ,35.5,0.1737665918135936,0.1469452836522323,0.17887087758524314,0.39044158747903857,0.7547792062604807,0.2614542967859585,0.6234468280705104,0.8767812520091401,0.2330304141267984,8557.899124635267,361.56731971654864,1744.6991802139778
E47000001,Greater Manchester,E47000001,2022,Catching up, ,36.6,0.1737665918135936,0.134572708621195,0.11480468067765034,0.4307504220760319,0.7961227222448624,0.33495145631067963,0.5899213667135572,0.9383420443066297,0.3376405492609326,8557.899124635267,361.56731971654864,1744.6991802139778
E47000002,South Yorkshire,E47000002,2020,Falling behind, ,30.1,0.16262732701088867,0.1338475499092559,0.17364657814096016,0.3713539893315174,0.7607536034502327,0.24383301707779886,0.6417264195948332,0.8241560542893774,0.13272698512253386,8652.871085290755,312.1672273258673,1520.9604043259226
E47000002,South Yorkshire,E47000002,2021,Falling behind, ,30.8,0.1649229318322478,0.14491645735502895,0.17113331819214173,0.3647513059277765,0.7660685895980014,0.32427184466019415,0.6405332588493386,0.8375348521756694,0.2799644615681222,8652.871085290755,312.1672273258673,1520.9604043259226
E47000002,South Yorkshire,E47000002,2022,Falling behind, ,31.4,0.1649229318322478,0.140737555101602,0.10660321237358715,0.383343248066627,0.8095181439619274,0.39787632729544037,0.6037619288774912,0.8613752645454436,0.4337838867223093,8652.871085290755,312.1672273258673,1520.9604043259226
E47000003,West Yorkshire,E47000003,2020,Falling behind, ,33.0,0.17372696587477188,0.11700858100812639,0.1821563899414399,0.3763003789183603,0.7851188425766449,0.23212568130811156,0.618603009866963,0.8421839294695423,0.24862056381229414,7471.44270988616,311.2237427294683,1758.0970392154443
E47000003,West Yorkshire,E47000003,2021,Falling behind, ,33.6,0.18675078864353312,0.12355406538139145,0.1859005311443747,0.38187211147133887,0.7674001517555357,0.23962040332147094,0.616786794797667,0.8408530510876283,0.3571168691680359,7471.44270988616,311.2237427294683,1758.0970392154443
E47000003,West Yorkshire,E47000003,2022,Falling behind, ,34.5,0.18675078864353312,0.13008084750487872,0.12478435882691202,0.3847038527889592,0.7961472110408281,0.30712270803949226,0.5849930281883213,0.9071666214759903,0.5251758564224099,7471.44270988616,311.2237427294683,1758.0970392154443
E47000004,Liverpool City Region,E47000004,2020,Falling behind, ,33.4,0.1816141129245233,0.14023012122457365,0.18919199253189503,0.3778653666632092,0.7557307333264184,0.2849256900212314,0.6235141336768772,0.8376487533212065,0.24978142086645702,9294.671168224711,395.9738236941913,1718.6927099985626
